id,age,sfr,metallicity
2233,9.45006,14.81,1
2238,9.35017,16.73,1
2241,9.41005,0.1322,1
2244,9.8501,0.03402,0.2
2245,9.23005,7.672,0.2
2247,10.0001,0,0.2
2253,9.15998,8.278,2.5
2265,9.06006,3.733,2.5
2266,9.06006,2.885,1
2270,9.00011,3.198,0.2
2277,9.32006,0.03973,1
2280,7.05008,149.9,0.2
2281,8.30005,12.27,1
2283,9.11003,4,1
2292,9.15026,10.2,0.2
2296,7.00009,199.3,0.2
2304,8.65013,36.04,0.2
2305,9.15998,4.98,1
2312,9.10014,5.247,1
2316,9.21017,5.718,1
2323,9.60011,0.00168,1
2328,8.9001,1.179,0.02
2335,9.32006,0.3798,0.2
2337,9.00011,16.48,0.02
2338,9.06006,16.73,1
2339,8.9001,15.5,0.2
2348,8.85008,3.853,1
2349,9.40014,2.573,0.2
2366,7.00009,103.2,1
2372,9.48013,0.219,0.2
2377,9.57008,0.000167,0.2
2381,8.40013,12.01,1
2387,8.40013,13.75,0.2
2405,9.30006,4.152,1
2406,8.95014,34.94,0.2
2407,7.00009,1014,0.2
2413,9.40014,0.1285,1
2419,9.36014,0.596,0.2
2422,9.44008,0.01208,1
2423,8.6001,2.968,0.02
2442,9.40014,94,2.5
2449,9.28001,0.1305,0.2
2451,9.95015,0,0.2
2459,9.60011,0.08085,1
2463,8.95014,4.611,1
2466,9.36014,0.2283,0.2
2473,9.30006,22.78,2.5
2476,7.00009,1342,0.2
2478,8.40013,69.21,0.2
2486,9.20015,28.07,1
2488,9.45006,32.61,0.2
2495,9.90011,0,0.2
2496,9.48013,0.8746,1
2500,9.00011,33.57,1
2504,9.54008,0.8931,0.2
2505,8.85008,20.9,0.2
2512,9.11003,11.72,2.5
2513,8.95014,10.82,1
2518,9.00011,14.95,1
2519,9.48013,0.05131,0.2
2522,8.6001,72.99,1
2526,9.23005,4.3e-05,0.2
2542,8.85008,49.03,1
2543,7.40011,455.7,1
2544,8.70012,12.6,1
2548,9.05011,12.29,1
2550,9.20015,27.31,1
2556,8.10013,36.62,0.2
2560,8.80014,10.68,1
2561,8.80014,22.02,0.2
2563,8.80014,14.65,0.2
2565,9.26019,0.8457,0.2
2571,8.95014,5.854,1
2578,8.95014,36.94,1
2584,9.35017,3.448,1
2588,9.11003,7.045,0.2
2612,8.70012,8.722,0.2
2617,9.80015,0,0.2
2619,9.88014,0,0.2
2629,9.51013,0.002111,0.2
2632,9.05011,17.94,0.2
2633,9.36014,10.3,1
2665,7.00009,206.9,0.2
2668,9.06006,3.463,2.5
2674,8.85008,3.489,1
2677,9.5501,3.849,0.2
2679,8.9001,1.643,1
2687,10.01,0,0.2
2688,9.30006,7.138,1
2696,9.20015,10.53,0.2
2697,9.10014,11.91,1
2699,9.21017,4.282,0.2
2703,9.10014,9.635,0.2
2713,9.15998,23.72,1
2720,10.0399,0,0.2
2731,9.30006,2.873,0.2
2734,9.60011,0.06104,1
2738,9.32006,0.1384,0.2
2754,9.90011,0.000943,0.2
2757,10.0201,0,0.2
2769,8.80014,48.54,1
2775,9.20015,7.194,1
2776,8.9001,9.95,1
2777,9.21017,4.488,0.2
2778,9.00011,4.229,0.02
2779,8.80014,56.82,0.2
2782,9.26019,0.000205,1
2790,9.00011,15.04,1
2797,7.00009,99900,0.2
2800,9.06006,82.89,2.5
2820,9.06006,6.852,2.5
2823,8.6001,10.99,0.2
2836,9.06006,10.55,1
2839,9.38015,0.0343,1
2840,7.50006,210.9,0.2
2841,9.00011,17.92,0.02
2843,8.40013,169.3,1
2844,7.00009,207.4,0.2
2847,9.74009,0,0.2
2849,9.00011,8.828,1
2857,9.15026,7.949,0.2
2869,8.45005,337.5,1
2873,8.50007,17.75,1
2877,10.0201,0,0.2
2888,9.60011,0.04374,0.2
2891,9.40014,0.6057,1
2894,7.00009,58930,0.2
2901,9.60011,1.525,0.2
2903,9.60011,0.09943,0.2
2925,9.15026,22.47,0.2
2932,9.30006,25.63,0.2
2933,9.95015,0,0.2
2934,9.57008,0.1528,0.2
2938,9.00011,1.171,0.02
2965,8.95014,11.43,1
