id,mag,mass,zbest,zspec,ra,dec
1120,22.2021,9.84193,0.9,-99,150.10572,2.193178
1123,23.3217,9.57933,1.66,-99,150.182549,2.193969
1129,21.7142,11.0224,1.61,-99,150.105515,2.193501
1131,22.1683,9.74907,1.251,-99,150.16108,2.19288
1138,21.3597,9.65389,2.997,-99,150.136705,2.190646
1145,23.695,10.7004,1.856,-99,150.081198,2.193909
1179,22.6037,9.85585,0.92,-99,150.091273,2.19397
1194,20.5074,10.2492,0.667,-99,150.091312,2.192005
1200,24.2873,10.1248,2.149,-99,150.200321,2.195088
1212,20.8541,9.99202,0.65,-99,150.159561,2.193239
1226,19.8392,10.8387,0.692,-99,150.077385,2.191787
1232,21.1506,9.87115,0.647,-99,150.130277,2.194286
1235,20.8947,10.4645,0.81,-99,150.148793,2.194357
1239,22.176,10.4022,1.71,-99,150.165748,2.194409
1242,23.5697,10.1587,2.666,-99,150.095312,2.195573
1253,19.4472,10.3983,0.395,-99,150.154651,2.193503
1266,22.1645,11.0218,1.7,-99,150.15022,2.195011
1269,23.4965,9.77017,1.67,-99,150.129912,2.195413
1272,19.5671,11.1981,0.873,-99,150.128858,2.193227
1273,24.2042,9.46064,3.414,-99,150.178162,2.195945
1276,22.9316,9.7355,2.39,-99,150.156518,2.195581
1281,21.6596,10.2697,0.9,-99,150.092032,2.195072
1283,22.8744,10.1748,1.748,-99,150.162607,2.195695
1286,23.539,9.91061,1.71,-99,150.069789,2.19567
1287,24.1528,9.56406,3.08,-99,150.073048,2.196032
1298,17.7165,10.5743,0.22,-99,150.076057,2.190499
1300,21.8614,10.0183,0.936,-99,150.058369,2.195392
1301,20.6333,10.5487,0.923,-99,150.078396,2.194738
1307,22.8746,9.80176,0.896,-99,150.146266,2.196078
1312,21.342,9.98896,0.559,-99,150.130169,2.195489
1315,14.3297,12.681,5.6924,-99,150.110666,2.187744
1316,22.7092,10.2616,1.19,-99,150.104773,2.195706
1320,24.3591,9.64114,3.245,-99,150.077462,2.196356
1322,22.7053,9.77297,1.2925,-99,150.185251,2.196019
1331,20.4023,10.9518,0.929,-99,150.185198,2.194721
1333,21.7308,10.7285,1.899,-99,150.069137,2.193951
1334,23.3619,9.63624,0.812,-99,150.13081,2.196535
1337,17.9086,10.9434,0.291,-99,150.196823,2.194024
1339,24.427,9.68746,2.88,-99,150.061984,2.19659
1346,20.4011,11.0819,1.09,-99,150.110268,2.19398
1349,20.2657,10.9522,0.923,-99,150.153128,2.194656
1355,21.828,10.1871,0.95,-99,150.142994,2.196147
1356,23.5701,9.92236,2.3,-99,150.074925,2.196516
1357,22.4818,10.5504,1.7958,0.926,150.148492,2.196408
1359,22.1976,10.897,1.891,-99,150.162772,2.196018
1380,24.564,10.1741,2.0673,-99,150.199987,2.197076
1390,23.1135,9.58051,1.443,-99,150.068949,2.196923
1393,22.8203,9.88619,0.924,-99,150.092375,2.196768
1395,20.2651,11.0539,0.928,-99,150.152097,2.195421
1396,23.5131,10.3005,2.16,-99,150.058079,2.196511
1397,21.1962,9.26391,0.4,-99,150.166345,2.196256
1399,23.6807,9.83929,2.14,-99,150.199715,2.197016
1409,18.3813,11.0026,0.413,-99,150.095105,2.193741
1424,22.9295,10.3317,1.845,-99,150.156995,2.19688
1429,22.3857,10.0578,1.098,-99,150.175371,2.197112
1433,22.9623,9.8914,1.55,-99,150.11762,2.196579
1441,14.9486,12.5952,4.02,-99,150.13591,2.18961
1445,21.5421,9.87058,0.91,-99,150.149364,2.196552
1446,21.4919,10.2672,0.826,-99,150.137447,2.197081
1447,21.628,10.4577,0.91,-99,150.116804,2.196744
1449,20.2497,9.95914,0.515,-99,150.198056,2.194189
1452,21.0894,10.3189,0.771,-99,150.131043,2.197183
1462,22.7397,9.81224,1.22,-99,150.053568,2.196928
1465,21.2399,10.2403,0.719,-99,150.093023,2.19693
1474,23.9463,9.54547,2.257,-99,150.059009,2.197667
1476,24.6725,9.49863,2.527,-99,150.124275,2.198059
1485,19.6005,11.009,0.69,-99,150.076504,2.195161
1491,23.4797,10.2309,3.96,-99,150.163579,2.197748
1493,18.9319,10.7771,0.3757,-99,150.171154,2.194493
1496,20.9922,10.4289,0.81,-99,150.135622,2.197358
1498,24.0535,9.41397,3.11,-99,150.192969,2.198306
1516,19.793,10.8022,0.6,-99,150.129533,2.19682
1520,22.2633,10.4934,1.79,-99,150.153352,2.197736
1532,23.867,9.40167,2.348,-99,150.059372,2.198399
1535,21.53,10.2417,0.91,-99,150.094656,2.197423
